ResourceID,Grid ID,Grid Square Geometric Place Expression
f21a67d8-1d9f-46b4-8a2f-d8c1da88c398,E44N16-32,
c4b49f61-b5b7-4ad7-b6d9-fbc5a1a6b79f,E44N16-33,
3cd6ef13-dbba-42c5-8039-72e25a5cc89b,E44N16-34,
e90164a7-6255-4bf4-8820-6aad8e218e57,E44N16-41,
4bf6b557-bcea-4fcb-b7ad-b81441ca5fcf,E44N16-42,
d9df79db-6ead-4dcf-a022-1b7c50085a51,E44N16-43,
c056c0cb-d1a6-45a6-b00c-7d57cb57d0b0,E44N16-44,
5ac84f89-d1a3-4bf1-804e-e3508162e36c,E44N17-11,
53e6345c-1573-40c2-9f34-2ab205f1d235,E44N17-12,
022011bb-ef12-43d0-8c1a-a86b66e6a7ea,E44N17-21,
e00cd3cf-6114-4e04-840d-2d9f5676b83e,E44N17-22,
770bf9a4-0419-47a6-a4be-a1459c0c0cdb,E44N17-23,
e97ca87c-98fa-4104-9937-3e88db7cbe5d,E44N32-24,
9dbcf493-b6ad-4fa9-adc6-f6e28ef551e1,E44N32-42,
93fb9793-a63d-4f1f-a188-9a1378d0d7b1,E45N31-14,
83a7e8c7-cdb2-4045-b631-1ad1e55b6d93,E45N31-21,
b0cf74a8-0ec4-452a-8b05-781b8becdb10,E45N31-22,
f74f3438-dd62-4323-aeca-93573c542fe2,E45N31-23,
ca8f4385-1164-42fb-8051-b856476bf6b1,E45N31-24,
bcc425ca-0c03-42b7-8bc6-dcb62c3b0e7c,E45N31-31,
e557e67e-bdcc-43bc-aa3d-a33bf33a64a1,E45N31-32,
746e8e4a-f736-43b7-9f5f-99ddcf2174a4,E45N31-33,
697d9a5c-7bec-4341-b468-4d1cd7c83aa3,E45N31-34,
9394a385-c256-4db9-bbff-e47d64165282,E45N31-41,
c89258f5-e61d-4af6-9e49-12f98a0e71cc,E45N31-42,
d8baf235-f8de-48b7-b749-67db3c31e55c,E45N31-43,
6ea85f2f-1b06-436a-bfd7-525afbe17263,E45N31-44,
65d5c255-73d0-4579-b07e-dccf9856c060,E45N32-11,
ec87fc20-5809-40ac-9d40-24fcfc23fe18,E45N32-12,
ad59fefb-eb69-4841-a10a-a476ff1bd727,E45N32-13,
6c996f59-1d6c-4337-b454-1f53b2381791,E45N32-14,
1d2cdfcb-1889-4adf-af08-b291ef40098d,E45N32-21,
3850eb46-1afc-4f1f-a714-8483b0904f28,E45N32-23,
1a76f506-a85d-4907-bed4-bc75ff58d984,E45N32-31,
1414b5a3-c344-4c9c-b620-7673a3c52325,E45N32-32,
d8002cbe-1c8e-4935-8743-1d8bcc1266a9,E45N32-41,
11cf96d0-ec17-40cf-92af-2f692e8e603b,E46N31-11,
97532084-55ae-471e-884d-e0d02d967d64,E46N31-13,
c4b99dbb-415a-4e7d-9ce5-e55012a19772,E45N15-14,
5d5c742a-6e99-4160-9a2e-0cee948639a8,E45N15-31,
872890e8-a820-4835-9c4a-d95627518159,E45N15-32,
65e6f3ac-eeca-4036-bfd3-5e8ed54ec6a9,E45N16-31,
de595d58-4704-43a4-8bdf-9568837c38d9,E48N29-31,
25533602-3881-46a4-a426-82c3bc394f23,E48N16-22,
a49a1046-72d9-4cd5-8093-85d720d8c52d,E35N34-24,
2b118c96-4927-4743-a637-8f8ee830968e,E45N16-33,
339b2188-15c4-4adb-8f30-f609dc625d67,E49N16-22,
31945cc0-26fd-4a3a-9434-a30734b9b184,E14N31-12,
52d15789-77b4-4812-8882-9f25093fc094,E14N31-13,
4bf90b09-caa0-4a31-8a25-e54f0a26d4b6,E14N31-14,
ca3330be-6b41-401b-9d4a-1e0e5c831629,E14N31-21,
8da336d0-671f-4bc3-a8a3-4746fc43ed3f,E14N31-22,
88f5c145-58de-4760-b491-5ef1c5a4e9e3,E14N31-23,
d9d7bbc4-5f31-4b4b-8c40-6ac56bf9cb4c,E14N31-31,
1ccd1929-8122-44ed-84f3-703baa455963,E14N31-32,
18b94698-6366-417e-8dc8-f9b2ed509039,E14N31-33,
d0f291dd-2913-4cca-a38e-3bfec4658313,E35N30-43,
5094c59b-a566-4b09-b0e3-b0cd0dbbf072,E35N30-44,
a5d45abd-cbe5-4577-80e0-36b36d987036,E35N31-21,
189c74d8-ee16-4675-afc0-2c6d115824b6,E35N31-22,
8795376c-f554-453e-a16a-7fe1824a6213,E35N31-23,
5e999c76-2230-401d-8c62-f500d84da9ce,E35N31-24,
610df96a-a4a7-4451-9ea4-0854f558b0f4,E09N33-32,
59f8c285-ccdf-4f32-9c70-8af06ba99916,E09N33-33,
e9660e48-9913-4076-bf23-c09dbd7f9171,E09N33-34,
b6d58cef-1201-4bac-900b-c75e40e24041,E09N33-41,
f7087705-aca9-48f0-9809-abfcbc301b71,E09N33-42,
13b1c0ea-3fb5-4997-a61b-15252e965a93,E09N33-43,
1b7be195-9cab-476d-a2bd-8c440ce8da88,E09N33-44,
58f77bf8-ee70-432e-a907-d87f26ac6620,E10N30-43,
caf981b4-0556-4458-b8ae-8a07e532846a,E10N31-34,
2310a318-a39a-41dd-8c08-232d1dcda77d,E10N32-21,
e542bf1b-a62b-4763-b683-f01cf87fd0a7,E10N32-32,
c4a07b9f-af97-4a18-a0d1-2970117ff425,E10N32-34,
047da15f-221e-446d-a504-f844904123da,E10N32-43,
004db4f1-dc2c-4dc1-a69b-c167fe891fe8,E10N33-12,
53b7ec32-e7e7-4c38-86eb-16a9e2c25be6,E10N33-13,
7f87b5b7-c6db-45ce-873c-fc0cb9e8eccd,E10N33-14,
1b15272f-f0af-40b5-8651-6d55e8b68644,E10N33-21,
256a2c3f-0505-49b5-9e71-5578301d6d4d,E10N33-22,
140be200-1e29-408e-a0ca-56b2a4ccff43,E10N33-23,
72628aa1-5c9d-437e-ba10-922ef94dc9a9,E10N33-24,
d7b0ec83-84a1-4b92-88ed-d530f8f486d5,E10N33-31,
62ec57f4-0bdd-4d21-932f-0b2141fe2bb6,E10N33-32,
463e694a-8024-41bf-8558-78dc60ea0b33,E10N33-33,
cde051fb-0fb3-45c4-811e-36a1ced698f3,E10N33-41,
b883593f-5c58-4d5f-9135-15e0d3c0a8fc,E10N33-42,
730e592b-1873-47bf-ae5c-f1e36df2b9a5,E11N31-33,
55aba333-2b1d-4f10-8a6c-89292fad83ca,E11N31-34,
cd1c4502-f31c-48c7-9747-f11ce990a4de,E11N32-11,
a89cc198-77eb-43ee-b5ab-2eb129b71ecf,E11N32-12,
4abecbc6-c1a5-4f96-aa53-8bf7c4ec0f02,E11N32-34,
9b7f2e8b-a79a-4759-b7ac-3137449b2493,E11N33-11,
5e68b48e-8150-442b-a340-698cf8ce7798,E11N33-12,
a2770029-1ee5-45f9-b477-8b890295da3d,E11N33-13,
f321c6e2-e5eb-4703-aafc-53e650860909,E11N33-14,
c6f8aa02-3972-442d-8e2d-05006dcf4e83,E12N31-32,
dddced04-d2ae-46b2-9417-18958988446b,E13N31-12,
1776f647-4f45-4b29-a319-a89ab17e7b09,E13N31-13,
453c7cf4-3e20-4709-8ad0-3d7595e0ebc8,E13N31-14,
1aae6880-e6bc-4900-ac4e-09f47d3105db,E13N31-24,
094575f8-b094-48ee-b384-12d8ca395115,E13N31-33,
33d6f0fd-b016-4ded-b11a-aadfc723b1de,E13N31-41,
5096cbf6-2fca-4e49-8330-edf6b55af506,E13N31-42,
16b86aab-b8fb-44b4-80fa-b2af54a3cbc1,E13N31-44,
bbf04aa7-2d83-4112-b915-33b7afb81f65,E13N32-12,
217ba0b9-a1d9-4d45-9bb2-3dc5d7a49633,E13N32-14,
4068982c-e335-4ebd-b7df-5dfccde2193e,E13N32-23,
74289d88-88fc-45c0-90a8-f435da5a7287,E13N32-24,
dd3d97b6-43ef-4336-8458-871fccf11577,E13N32-41,
a641816c-a6fc-468e-ab70-e5e21c90b928,E13N32-42,
3da2eae0-5d6c-45e4-893b-322252b12b02,E14N30-34,
bab9ba58-4757-43a6-a465-02b8579510cb,E14N30-43,
1f4ee99d-2e29-4cdb-b690-184b7be4b1ff,E14N31-11,
43e7b435-0a78-4346-84dc-280ac6427419,E14N31-34,
d9fd7e48-87a5-4cc2-bced-2d841f001d7c,E14N31-41,
10a55ff0-c1bd-49f4-a6d3-0e32e1537cd1,E14N31-42,
f73d6040-97b3-4703-bafb-be6fa70cc147,E14N31-43,
8d05ecab-cbb7-4af8-a5ad-1b9f64cf5730,E14N31-44,
