ResourceID,Name
173605e0-88c2-47b9-9826-337ede74dc4d,"Werner, A."
17ccdaa0-927a-4073-8d51-761e2c794599,"Ghadbân, C."
17e4b1e5-d2a2-4fd4-b5af-5e3c5602a232,Yener
1833d975-cecd-4d15-bccf-aedd54646b04,"Besancon, J."
1842690f-155b-4f8b-8793-8cfb63647879,World Monuments Fund
1871b1aa-27d9-4319-be3f-620739119ad2,"Mosherer, Y."
1896ee0e-858d-44e3-b9c0-694e83782679,"Winterburn, J.B. / GARP"
189a5ced-88c7-4c1a-b9a5-353360fb2d3d,"Harder, G."
18b5af19-b71f-42ad-bd84-d965b49dba82,Haythem Abidi
190500cb-ea84-4ea3-83ca-0a6dcf5ff510,"Daniels, C.M."
19063705-5c5f-46f0-a88a-7f4add402780,"Mazar, A."
193b267a-517f-461b-a6ee-4c2dc60dbdf1,"Breton, J.-Fr."
1952e8ae-d156-47ea-b925-1e26050adb45,"Bartoccini, A."
198c0f33-30c1-419f-a3b8-033d87950580,Rodrigo Ortiz Vazquez
19aa7f5f-4e1c-482d-af62-865f9a3885d4,"Phillips, W."
19de2331-6c9a-467b-a054-7036b736f582,"Kelso, J.L."
1a0f1693-780a-4551-8372-4077f318920d,"Bozzi, R."
1a180a61-22f8-4013-b162-9bec0ac7ddb3,"Bretschneider, Joachim"
1a3c1b01-2f72-42e8-ad08-8c5d471e4355,"Forsythe, W."
1a422bbb-981a-4ff3-93e1-a8d0ebaf6f3b,"Meinardus, O."
1a6970ec-74a2-4e60-9d21-1bbb5ab289da,"Wrede, A. von"
1aa964ba-e2ae-4158-887f-b33bd8fc68ff,UNESCO Libyan Valleys Survey Gazetteer
1ac92fbc-689b-447f-a5a0-ddb22335781a,"Keall, E. J."
1af84581-32ef-4b78-bf7e-656a903b673d,"Rollefson, G."
1b05def9-f744-48ab-87de-ca13fc532f0c,"Gillet, E."
1b1150d2-f2e4-430b-a2c7-a557f053bd5a,"Hoffmann Pedersen, C."
1b83bdbd-622d-4e83-ac8f-ad1b5f3ceccb,"Finlayson, B."
1b8bb1a1-4059-4e61-a510-c8b29e377d64,"Rollefson, G. O."
1b8fc2c8-cd77-432e-a1d2-14b2f836f72a,"Piana, M."
1bde7ee6-d7f5-4c52-94b7-20328d293bb2,Amr and al Momani 2001
1c124885-4e22-4b27-9af5-f4ceb4491973,Leia Tilley
1c32c6c4-35f6-4147-a6e5-230619188757,"Abdulkarim, M."
1c375b51-e950-4999-80ba-15ae5ae5e3c4,David Leslie Kennedy
1c95db6f-2452-498a-8e50-a928508459dc,"Haïdar-Boustani, M."
1cb241e1-5aca-4b48-8ebd-dda21f809a7c,"Pirenne, J."
1cd1e024-59d1-4472-9f76-e752f396573a,"Chesson, M."
1ce3025c-b429-451f-9683-11e3a97ff131,"Sparks, R."
1d3be755-815e-458c-951b-21f45edfc977,Daniele Borkowski
1d4cc4ab-e5a4-4aca-ab0c-7e1d560b6cb3,"Urban, T. M."
1d6a597f-ceda-4286-8cfa-46270c81ea81,"Antonini, S."
1d771776-ea30-4142-ba5e-3ea02e7f149e,Torbjørn Preus Schou
1da79322-8af8-4220-b688-1be357236f7f,"Beschaouch, A."
1de9c685-3c3c-438f-bda5-6dd2750819f2,"Halloun, M."
1e7eb225-d24d-400d-b68d-bbe800788525,"Mehsel, Z."
1e9ff18e-271e-47d1-93fd-dc2154dcf1bb,"Hamilton, R.W."
1eb2bc48-c9d2-42bc-8a4f-1ce3b0b91312,naouel Selmi
1eb2bc48-c9d2-42bc-8a4f-1ce3b0b91312,Naouel Selmi
1ebd4d08-e823-4b4c-8367-13215cc29030,"Bartik, M."
1edc8310-bace-46e5-aa3a-e550aef3b42d,"Byrd, B.F.; Banning, E.B."
1f1b3147-f059-4e4d-847e-176257c306e7,"Bartoccini, R."
1f4d3d4b-a0a6-4d50-9d02-7312d9b2c074,"Zertal, A"
1f576a46-760e-46f8-aa68-430b0ba55143,"Wilson, C."
1fa82a3b-a064-45cd-a17c-f65555e3b722,"Cuneo, A"
1fb9525e-8ec6-4a26-9d03-b8501b4bb267,"Tomasello, F."
1fed6d0c-e6d4-4260-b9a5-10913b2244a9,"Keinan, A."
1ff7e8bc-e9ab-43a6-a9fb-95899635539c,"al-Ansi, K."
202f23fe-e46e-4a3b-bebd-5ae0ee69a3f8,"Chesson, M.S. et al."
20315c09-1f2a-4769-9322-a5eae3feb4db,"Stanley Price, N. P."
204aea58-4812-4d6c-9742-549b01075af6,"Banks, R.E."
2078e97f-70d1-43d0-9556-337fbeed37e7,"Hingham, T."
20867926-b4bd-4cb8-bb16-fe911337f53b,"Newson, P."
20b50e99-ee14-4914-a3e6-566bf20e3bfd,"Klemm, D."
20b9aade-3176-4a71-8786-04060fb6bc3b,"Matsaert, F."
20dce2a1-b439-48a4-a485-6f6f2d8787de,"Zaatari, M."
20e5d7ba-b41d-4fe8-8739-a912778634e4,"Lewis, K."
20f7f162-316f-45b9-934a-fb42481957fb,"Robin, C."
210bdcb2-b10c-4df0-81b8-3a9807a9ec68,"Collon, D."
212c236e-fac9-4e14-912b-f85cbcf659c8,RT
214f5ca8-fbce-443c-a66b-e6853238c90e,"Maltzan, H. von"
21593ad2-4061-4e8d-b599-b45bc65ae978,"Raunig, W."
216cee7f-b726-42df-a6b5-19d688d1627d,"Bikoulis, P."
2174937c-cbff-4c40-9af9-6754d634be87,"Zaid, Z."
219819a6-d67f-419d-acfb-417574530162,"Sidell, J."
21a10144-1186-4015-a1aa-fbde6100ad3d,"Tsuboi, K."
21e79eac-8a18-47b8-a89d-d8adbe3cfcd2,"Macro, E."
22400645-5a61-461b-8607-3b7e85ce49f8,"Wendrich, W. Z."
22577a29-2c9e-41f8-8f0b-bbd0321a2fac,Ahmad Emrage
227f6daa-b011-4aa5-ac96-3bafc3671a33,"Linke, J."
22c9e7b8-0734-4c85-b01b-835957b0cdaf,Souad Gdouda
22cc9f19-3cff-4c7c-b5cc-0ab04058c7ad,Tell Sweyhat Survey/TJ Wilkinson
22de8def-3302-4da4-b666-396705e33065,"Kühne, I."
23054caa-0792-4af9-aea9-6620ba7d869b,"Hardy, S."
23274887-63f0-410a-860c-660b1e7d7aa9,"Cattani, M."
2327c0dc-76f1-49ea-b3d5-b9bc0de5bff2,"Patitucci, S."
2373a448-ea3e-4bd5-9d51-28f58daea77b,"Creswell, K.A.C."
23e2f2a7-e07b-479e-aea4-386ed86a3159,Nick Ray
23f7417d-d51b-4bc0-ac57-e126f19ee615,"Smith, L."
23fe7309-3ec1-4dd8-a04e-6479fa8ee021,"Bouchenaki, M."
24af2d01-0ab1-4248-bc25-c09783c8e020,"Sobott, R"
24c1fb48-5679-4949-b06e-070adabd5fe0,"Brogan, O."
24d87137-c81f-4f58-b121-247e01809e34,"Jamme, A."
24e1e517-8c6f-40a3-9174-c4951a68c24a,"Müller, W.W."
24ece010-841c-4b34-9571-d6d7354f1ed7,Andrea Zerbini
24ffbbc3-4f71-4dd9-af00-bf7d24cacd0e,Naili Abdallah
252a30a8-751b-4b0a-9cd0-42e17a6a1036,"Zagari, F."
2563dab6-7ba5-43b2-b78c-bb65759a9d67,"Reyes, A."
258e2056-499a-49b1-8116-350dcbd59830,Mauro Cremaschi
261dfc1d-8f07-4c92-9a50-d73275889342,"da Costa, K."
2680d1b0-589a-4861-b966-a5d8b25d89f5,"Knodell, A.R."
269185a0-dac9-4690-bd6b-516c425d784e,"Morin, T."
26eb61e5-7abd-44ce-918a-a58eb48f2686,"Glueck, N."
26eb61e5-7abd-44ce-918a-a58eb48f2686,N. Glueck
26f05111-dc53-4682-9de4-f963c28768cc,Mahr Hasan
2752ac1f-4f36-4bea-a673-ecd6c032b6f2,"Wheeler, M."
27615abc-4d73-438b-9b2b-a1258c4fc011,"Buffa, V."
27631ccf-949a-4480-8502-a6a601d275c2,"Bachielli, L."
27696c24-4077-42c9-89a2-fe7c151d1555,"Kersel, M. M."
277032ed-4b42-46b3-8d13-2c50526da66c,F. De Backer
2783aacb-b94c-49ed-b524-eff2ca5aa11e,"Kawatoko, M."
2783aacb-b94c-49ed-b524-eff2ca5aa11e,M. Kawatoko
27873b77-e5a7-4204-8a9c-ddda1b763d61,khansa Hannachi
27873b77-e5a7-4204-8a9c-ddda1b763d61,Khansa hannachi
27873b77-e5a7-4204-8a9c-ddda1b763d61,Khansa Hannachi
27905f51-47a1-4764-8a20-076a5842a308,"Clarke, J."
27b62a3b-faf5-427a-ae58-03ec20915e4a,"Maoz, U.Z."
27b71c83-bd68-49b8-9400-88a7f4f47987,"Polito, A."
28963c90-6d70-4494-9119-09d8b69aae12,"Meshorer, Y."
28e10db1-d39c-4a84-9048-efd4ca708cba,Sara Al Shammas
2909efea-c614-4483-9fcc-f5eae56081ff,"Gregory, S."
292aa066-bed6-4325-950d-6d39ec39a5c5,"Lawrence, T.E."
2941707b-84d3-4981-a964-f06690236f66,"Watzinger, C."
29586aba-7fba-45f4-876f-c0e7bceead96,Emhemed Alaskri
29895aa8-5113-4be9-9bfa-96b43db2ab15,"Patrich, J."
299a0800-fde8-470e-8325-ea79ca45a948,USGS
2a435e2b-6add-46ea-954c-4c1d5b34c1f3,"Kirchner, H."
2a833767-afbc-42fb-ac42-2d1c207f6cc6,DAAHL/JADIS
2aadd5ae-a151-4db6-8317-17c97637329d,Alem Beldados
2ac33f97-8bae-4c02-ad18-8303903181ca,"Groom, N."
2ad6155b-3928-494f-9fd8-724d64a523cf,"Lezine, A.-M."
2ada6603-9682-4eaf-bde6-e90044b3ba5d,"Rigot, J.-B."
2b1c1f77-7aa4-4327-ac16-a4d0d73901f2,H. Monchot
2b49ef26-5691-4aab-9dce-8f1c574b9d6a,Travis Peter Hearn
